feature,importance
lag_1,0.6373449823029158
momentum,0.6234249495913791
rolling_avg_5,0.058108635631932845
ewma_5,0.028628883181388766
ewma_10,0.019452102844800877
usage_or_role,0.00550406875075451
opposition_strength,0.004954340633785326
career_avg,0.004299127412297011
rolling_avg_10,0.004235382143332878
injury_risk,0.004133846710326172
lag_3,0.003115502156821659
acceleration,0.0029947563301992997
rolling_std_10,0.0022829138883852405
vs_opposition_avg,0.0019362149930924888
season_avg,0.0018051920221761942
career_std,0.001706764856525389
lag_2,0.0014602926989137678
rolling_std_5,0.000628367156021703
is_home,9.607969357221524e-05
age,8.773916488704624e-05
minutes_or_overs,-0.0010949392169507855
days_rest,-0.004690874690162827
