feature,importance
momentum,1.101708510151434
lag_1,0.5583912099319062
ewma_10,0.04414142164893422
ewma_5,0.03623841236388674
usage_or_role,0.009825810291859494
lag_3,0.005096767497010113
injury_risk,0.0037025892867397882
rolling_avg_5,0.0035267793043095796
acceleration,0.003143137555867659
age,0.0012487110704986425
career_std,0.0007168346403762183
minutes_or_overs,0.0003952780189419025
is_home,0.00020501836528512561
rolling_std_5,9.373011202782334e-05
rolling_std_10,-0.00039815660136142126
vs_opposition_avg,-0.0007006215135799021
season_avg,-0.001310587532862262
opposition_strength,-0.0018479428297653478
rolling_avg_10,-0.0019349201724343068
lag_2,-0.0022763766389424455
days_rest,-0.002819434335861337
career_avg,-0.00516096939046391
