feature,importance
lag_1,0.7407677468484171
momentum,0.6806555975916526
ewma_5,0.11880996367499683
ewma_10,0.06839307024058647
season_avg,0.0454827759213863
lag_2,0.017178862140227145
rolling_avg_10,0.014982263429011055
rolling_avg_5,0.013616322473337595
lag_3,0.00797178562243166
vs_opposition_avg,0.00792451387336308
age,0.005839003534593301
acceleration,0.00438465552922318
career_avg,0.004033542647718514
opposition_strength,0.0038177437897581657
usage_or_role,0.0022494364695837986
rolling_std_5,0.0014412562846635613
career_std,0.0013070486642518865
rolling_std_10,0.0007213510860360373
is_home,-0.0003859256597936067
days_rest,-0.0006707405799737387
injury_risk,-0.0010529902266571468
minutes_or_overs,-0.001763741331321067
